job,website,company,salary
php程序员,http://company.zhaopin.com/CZ162380610.htm,荷锐会展服务（上海）有限公司,7000-10000
Java初级程序员实习生福利待遇好,http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,4001-6000
网站开发程序员可培养,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,6001-8000
网站开发程序员 （五险，双休，提成）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Java程序员助理+周末双休,http://company.zhaopin.com/CZ721567280.htm,上海择彦网络科技有限公司,3000-5000
诚聘程序员Java （不限经验+双休）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,6001-8000
集团诚聘+初级JAVA程序员助理+双休,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
网站程序员,http://company.zhaopin.com/P2/CC3681/8101/CC368181013.htm,上海恒润生物医疗技术研究所,6001-8000
java开发程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,6001-8000
PHP程序员（可无经验/带薪培养）,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,6001-8000
急招JAVA软件开发程序员,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
初级程序员PHP,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
挺急的+.net程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
.NET程序员,http://special.zhaopin.com/pagepublish/16040791/index.html,深圳市汇合发展有限公司,7000-12000
诚聘程序员PHP NET开发,http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,4001-6000
C程序员,http://company.zhaopin.com/P8/CC0003/8457/CC000384572.htm,上海亚太计算机信息系统有限公司,8001-10000
Cocos2D/Cocos Creator 程序员,http://special.zhaopin.com/pagepublish/12035641/index.html,英雄互娱科技股份有限公司,8000-15000
JAVA程序员（医疗部）,http://company.zhaopin.com/P8/CC0003/8457/CC000384572.htm,上海亚太计算机信息系统有限公司,10001-15000
java高级程序员,http://company.zhaopin.com/P8/CC0003/8457/CC000384572.htm,上海亚太计算机信息系统有限公司,10001-15000
程序员(储备干部)（急招）160411,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%AD%A6%E5%88%9B%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC465281619.htm,上海武创信息科技有限公司,6001-8000
程序员PHP开发（不限经验+双休）,http://company.zhaopin.com/CC475295037.htm,大连淘车网络科技有限公司上海分公司,2001-4000
诚聘程序员PHP开发  大专本科生,http://company.zhaopin.com/CC475295037.htm,大连淘车网络科技有限公司上海分公司,4001-6000
初级程序员（有java/C++/.net 基础优先）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
PHP开发程序员（五险双休）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
网站开发程序员可培养+双休,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
诚聘  程序员PHP,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4000-6500
PHP程序员（浦东新区）,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
php程序员,http://company.zhaopin.com/CZ162380610.htm,荷锐会展服务（上海）有限公司,7000-10000
.net程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,3500-6000
java软件开发程序员（无经验/无学历要求）,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
Java初级程序员+双休,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
Java初级程序员,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
C程序员,http://company.zhaopin.com/P8/CC0003/8457/CC000384572.htm,上海亚太计算机信息系统有限公司,8001-10000
集团诚聘+初级JAVA程序员助理+双休,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
初级PHP网站开发程序员（五险一金/项目奖金）,http://company.zhaopin.com/CC490983739.htm,大连中科云信息技术有限公司上海分公司,4001-6000
初级程序员PHP  浦东商圈,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4000-6500
程序员PHP,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
PHP程序员,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
急招JAVA软件开发程序员,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
网站程序员,http://company.zhaopin.com/P2/CC3681/8101/CC368181013.htm,上海恒润生物医疗技术研究所,6001-8000
诚聘程序员PHP NET开发,http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,4001-6000
Senior Network Programmer 服务器程序员,http://special.zhaopin.com/sh/2008/yubi081517/jo.htm,Ubisoft Shanghai Studio,15000-30000
Senior Tools Programmer 工具开发程序员,http://special.zhaopin.com/sh/2008/yubi081517/jo.htm,Ubisoft Shanghai Studio,15000-30000
C++服务端程序员,http://company.zhaopin.com/CC407351534.htm,南京南游网络科技有限公司,10001-15000
Java初级程序员(办公环境优),http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4000-6500
PHP程序员 福利好待遇优,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
PHP程序员（可接受应届生）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,6001-8000
诚聘程序员Java （不限经验+双休）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,6001-8000
Java程序员助理+周末双休,http://company.zhaopin.com/CZ721567280.htm,上海择彦网络科技有限公司,3000-5000
Java软件开发工程师/程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,6001-8000
Java软件程序员（五险一金/双休）,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
.net程序员实习生福利待遇好,http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,4001-6000
php网站程序员,http://company.zhaopin.com/CZ721565380.htm,上海曳惬网络科技有限公司,3000-5000
.NET高级程序员,http://company.zhaopin.com/CC448764837.htm,上海梦创双杨数据科技股份有限公司,15001-20000
java初级程序员实习生+晋升空间大+补贴,http://company.zhaopin.com/CC490983739.htm,大连中科云信息技术有限公司上海分公司,4001-6000
unity3d程序员,http://company.zhaopin.com/CC487162238.htm,上海娴凝电子科技有限公司,8001-10000
计算机程序员+提成,http://company.zhaopin.com/CC584399385.htm,成都期汇乐信息技术有限公司,3000-5000
.NET程序员,http://company.zhaopin.com/CC335503917.htm,上海翼得营销策划有限公司,4000-8000
零基础JAVA程序员/+绩效奖,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
诚聘程序员Java开发（不限经验+双休）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
招 程序员（五险+双休）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
php程序员/网站程序（支持新人）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4000-7000
PHP程序员,http://company.zhaopin.com/CZ310771910.htm,上海猫诚电子商务股份有限公司,10001-15000
诚聘Java开发程序员,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
JAVA软件开发工程师/程序员/应届生（包住),http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,4001-6000
诚聘程序员PHP 开发,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,2001-4000
Unity3d程序员,http://company.zhaopin.com/CC368961881.htm,天津祥游科技有限公司,10001-15000
初级JAVA程序员助理/年底双薪,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
php程序员,http://company.zhaopin.com/CZ719431280.htm,上海恭鑫网络科技有限公司,10000-20000
软件开发 ERP技术开发 高薪程序员 +五险,http://company.zhaopin.com/CC512775236.htm,大连聚佳信息技术有限公司上海分公司,6001-8000
诚聘程序员PHP开发 大专本科生,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
PHP初级开发工程师/PHP程序员（应届优先）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
JAVA软件/程序员   双休、近地铁,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4500-6000
Java初级程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4200-6500
C++程序员  试用+择优转正,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4500-7000
Android程序员+五险一金,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,2001-4000
初级Java程序员（双休+餐补）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
.net软件开发程序员,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
JAVA高级程序员,http://company.zhaopin.com/CZ366698280.htm,上海赢他网络科技有限公司,15000-25000
初级程序员往应届生（可培养）+五险一金,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
诚聘程序员PHP开发 大专本科生,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,5000-7000
